Lane,"Assembly Type","Total Length","No Contigs","Avg Contig Length","Largest Contig",N50,"Contigs in N50",N60,"Contigs in N60",N70,"Contigs in N70",N80,"Contigs in N80",N90,"Contigs in N90",N100,"Contigs in N100","No scaffolded bases (N)","Total Raw Reads","Reads Mapped","Reads Unmapped","Reads Paired","Reads Unpaired","Total Raw Bases","Total Bases Mapped","Total Bases Mapped (Cigar)","Average Read Length","Maximum Read Length","Average Quality","Insert Size Average","Insert Size Std Dev"
42070_2#247,"Scaffold: SPAdes + Improvement",5678717,39,145608.13,611303,334922,7,242197,10,217650,12,201840,15,103708,19,311,39,79,2004186,1963010,41176,1933730,29280,302632086,296414510,296328344,151,151,35.4,415.1,102.3
42070_2#248,"Scaffold: SPAdes + Improvement",5678134,46,123437.70,613102,334915,7,252944,9,221776,11,201840,14,69088,18,311,46,566,1752910,1715541,37369,1688572,26969,264689410,259046691,258969659,151,151,35.4,412.4,103.5
42070_2#249,"Scaffold: SPAdes + Improvement",5292774,32,165399.19,1150178,408374,4,373263,6,367527,7,342628,9,268978,10,350,32,420,2223046,2176246,46800,2142646,33600,335679946,328613146,328514644,151,151,35.3,420.2,102.5
42070_2#250,"Scaffold: SPAdes + Improvement",5677633,44,129037.11,723398,334915,6,254021,8,207805,11,181090,14,119403,18,311,44,340,1558770,1524533,34237,1499526,25007,235374270,230204483,230133532,151,151,35.3,414.1,101.3
42070_2#251,"Scaffold: SPAdes + Improvement",5678828,41,138508.00,611181,345691,7,254033,9,217651,11,201845,14,86499,18,311,41,340,2554558,2499229,55329,2461958,37271,385738258,377383579,377273906,151,151,35.4,392.1,104.4
42070_2#252,"Scaffold: SPAdes + Improvement",5679562,49,115909.43,611323,261099,7,242030,9,205535,12,142700,15,86499,20,311,49,517,2305406,2255055,50351,2223026,32029,348116306,340513305,340416504,151,151,35.4,371.2,96.7
42070_2#253,"Scaffold: SPAdes + Improvement",5678085,39,145591.92,611239,375302,7,358362,8,207805,11,145778,14,100554,18,690,39,325,1826430,1778574,47856,1744568,34006,275790930,268564674,268477292,151,151,35.2,417.7,103.3
42070_2#254,"Scaffold: SPAdes + Improvement",5525320,39,141674.87,902832,350417,6,327977,7,286016,9,245105,11,142061,14,323,39,1130,1574640,1531682,42958,1500964,30718,237770640,231283982,231208221,151,151,35.2,412.2,103.1
42070_2#255,"Scaffold: SPAdes + Improvement",5508819,70,78697.41,644062,349734,6,220942,8,192739,11,135067,14,63557,20,334,70,760,1801150,1760828,40322,1733348,27480,271973650,265885028,265806676,151,151,35.3,417.0,102.1
42070_2#256,"Scaffold: SPAdes + Improvement",5679802,46,123473.96,635594,338091,7,254033,9,207805,12,142700,15,86499,19,311,46,126,2286946,2236888,50058,2201498,35390,345328846,337770088,337669356,151,151,35.4,408.0,102.5
42070_2#257,"Scaffold: SPAdes + Improvement",5700512,65,87700.18,733456,290816,7,259986,9,226841,11,128062,14,86638,19,313,65,831,2459508,2403653,55855,2366716,36937,371385708,362951603,362841389,151,151,35.3,410.2,105.8
42070_2#258,"Scaffold: SPAdes + Improvement",5245,1,5245.00,5245,5245,1,5245,1,5245,1,5245,1,5245,1,5245,1,0,2057202,14946,2042256,14612,334,310637502,2256846,2255930,151,151,35.3,595.7,882.5
42070_2#259,"Scaffold: SPAdes + Improvement",5652731,58,97460.88,885236,356022,5,322246,7,292176,9,186312,12,94307,16,322,58,2230,2237238,2184491,52747,2147626,36865,337822938,329858141,329755198,151,151,35.3,416.0,104.5
42070_2#260,"Scaffold: SPAdes + Improvement",5418628,38,142595.47,1068419,712145,3,553969,4,349822,6,251728,7,86709,11,314,38,482,1992196,1941501,50695,1906902,34599,300821596,293166651,293073736,151,151,35.3,425.7,103.7
42070_2#261,"Scaffold: SPAdes + Improvement",5728418,107,53536.62,732340,350484,6,260198,8,219912,10,128185,14,86638,19,303,107,1237,2528416,2462270,66146,2418276,43994,381790816,371802770,371683674,151,151,35.3,430.5,107.0
42070_2#262,"Scaffold: SPAdes + Improvement",5598772,69,81141.62,685989,238427,8,195341,10,188031,13,151775,16,86900,22,389,69,592,1847286,1804238,43048,1774250,29988,278940186,272439938,272357395,151,151,35.3,429.2,104.6
42070_2#263,"Scaffold: SPAdes + Improvement",5648089,51,110746.84,1459661,746100,3,415504,4,328632,6,144598,9,76254,14,335,51,1355,1986924,1932985,53939,1893600,39385,300025524,291880735,291781780,151,151,35.2,403.1,103.5
42070_2#264,"Scaffold: SPAdes + Improvement",5366929,54,99387.57,1079099,344375,5,314159,7,239554,9,153874,11,87070,16,328,54,651,2336774,2285978,50796,2247978,38000,352852874,345182678,345072583,151,151,35.3,417.4,103.7
42070_2#265,"Scaffold: SPAdes + Improvement",5699101,88,64762.51,731872,350650,6,260204,8,219912,11,162034,13,74859,19,302,88,1168,1167044,1132931,34113,1110244,22687,176223644,171072581,171014798,151,151,35.1,435.1,106.5
42070_2#266,"Scaffold: SPAdes + Improvement",5630320,70,80433.14,1066301,369762,5,230609,7,204991,9,148409,13,74390,18,307,70,474,1952430,1876196,76234,1821694,54502,294816930,283305596,283203761,151,151,35.2,423.4,100.7
42070_2#267,"Scaffold: SPAdes + Improvement",5649251,56,100879.48,1157442,389327,4,356019,6,298661,8,198679,10,86919,15,311,56,1188,2150218,2099541,50677,2064206,35335,324682918,317030691,316933415,151,151,35.3,424.8,102.8
42070_2#268,"Scaffold: SPAdes + Improvement",5587112,47,118874.72,1062451,412544,5,365082,7,353501,8,223953,10,96830,14,327,47,669,2127086,2084717,42369,2053208,31509,321189986,314792267,314698276,151,151,35.4,418.0,101.6
42070_2#269,"Scaffold: SPAdes + Improvement",5559923,67,82983.93,732341,289240,7,257043,9,230643,11,219912,13,95424,18,320,67,998,2582358,2511925,70433,2463818,48107,389936058,379300675,379175558,151,151,35.2,437.9,105.6
42070_2#270,"Scaffold: SPAdes + Improvement",5454403,49,111314.35,772216,480985,5,477159,6,359423,7,213293,9,104988,12,311,49,1162,1447736,1412889,34847,1388620,24269,218608136,213346239,213279282,151,151,35.3,404.5,105.5
42070_2#271,"Scaffold: SPAdes + Improvement",5110102,63,81112.73,585991,295040,6,292052,8,194007,10,185288,12,90392,17,311,63,1554,2953354,2888346,65008,2843380,44966,445956454,436140246,436013466,151,151,35.4,422.2,108.2
42070_2#272,"Scaffold: SPAdes + Improvement",5454882,46,118584.39,772693,568278,4,372599,6,359625,7,201954,9,99474,13,311,46,839,2411052,2351821,59231,2311780,40041,364068852,355124971,355012540,151,151,35.3,424.7,104.9
42070_2#273,"Scaffold: SPAdes + Improvement",5974713,84,71127.54,855411,361746,6,259488,8,213421,10,124461,14,87077,19,322,84,350,1258900,1226698,32202,1204542,22156,190093900,185231398,185171877,151,151,35.2,426.6,103.9
42070_2#274,"Scaffold: SPAdes + Improvement",5776125,74,78055.74,676387,339524,6,214631,8,144307,12,98579,17,69725,24,335,74,967,1839416,1803108,36308,1775640,27468,277751816,272269308,272186305,151,151,35.4,418.1,104.2
42070_2#275,"Scaffold: SPAdes + Improvement",5980105,62,96453.31,864593,408782,5,358022,7,261813,9,230262,11,99455,16,316,62,490,2059352,2014761,44591,1982916,31845,310962152,304228911,304136515,151,151,35.3,431.0,105.2
42070_2#276,"Scaffold: SPAdes + Improvement",5579343,66,84535.50,730564,430083,5,294550,7,218555,9,138103,12,83470,17,303,66,95,2161130,2107917,53213,2072198,35719,326330630,318295467,318194168,151,151,35.3,416.3,102.3
42070_2#277,"Scaffold: SPAdes + Improvement",5679867,38,149470.18,1063788,326635,6,252944,8,217650,10,148257,13,86499,18,311,38,368,1983354,1931587,51767,1895478,36109,299486454,291669637,291576141,151,151,35.2,430.6,107.5
42070_2#278,"Scaffold: SPAdes + Improvement",5618129,69,81422.16,510627,217011,9,184777,12,141254,15,80209,21,56249,29,344,69,406,1921110,1874540,46570,1841950,32590,290087610,283055540,282966020,151,151,35.3,419.8,102.4
42070_2#279,"Scaffold: SPAdes + Improvement",5679285,34,167037.79,1042865,375429,5,263035,7,235039,9,206506,12,119475,15,311,34,417,2412562,2357925,54637,2319456,38469,364296862,356046675,355941280,151,151,35.3,419.9,103.1
42070_2#280,"Scaffold: SPAdes + Improvement",5751434,91,63202.57,376372,172357,12,139966,16,102899,21,76144,27,42225,36,393,91,678,1291888,1261162,30726,1239140,22022,195075088,190435462,190375467,151,151,35.3,422.1,104.6
42070_2#281,"Scaffold: SPAdes + Improvement",5678556,47,120820.34,611270,326635,7,242072,10,207805,12,148257,15,86499,20,311,47,339,1938408,1884983,53425,1845754,39229,292699608,284632433,284536087,151,151,35.1,427.0,104.8
42070_2#282,"Scaffold: SPAdes + Improvement",6415785,598,10728.74,2651196,811814,2,411864,3,215017,6,63073,11,5233,61,300,598,5297,2149556,2094200,55356,2056530,37670,324582956,316224200,316111077,151,151,35.3,423.5,105.4
42070_2#283,"Scaffold: SPAdes + Improvement",5679775,44,129085.80,671682,326635,7,242034,9,217650,11,148257,14,102712,18,311,44,340,2968996,2901338,67658,2854106,47232,448318396,438102038,437970992,151,151,35.4,405.2,109.5
42070_2#284,"Scaffold: SPAdes + Improvement",5826296,94,61981.87,475043,185158,9,150764,13,111111,18,90924,23,30826,35,300,94,1369,2590944,2533328,57616,2496432,36896,391232544,382532528,382421183,151,151,35.4,382.1,100.7
42070_2#285,"Scaffold: SPAdes + Improvement",5619711,83,67707.36,544880,372610,6,249688,8,197835,11,123893,14,49514,21,315,83,74,2264380,2211887,52493,2176752,35135,341921380,333994937,333893895,151,151,35.4,410.7,105.7
42070_2#286,"Scaffold: SPAdes + Improvement",5752487,83,69307.07,365691,177673,11,140166,15,101856,19,77502,26,56249,34,344,83,644,1904088,1861798,42290,1831500,30298,287517288,281131498,281044666,151,151,35.3,420.9,105.4
42070_2#287,"Scaffold: SPAdes + Improvement",5680763,44,129108.25,647067,375356,6,280582,8,254033,10,205535,12,119403,16,311,44,334,2856906,2786981,69925,2737594,49387,431392806,420834131,420700664,151,151,35.3,418.1,105.5
42070_2#288,"Scaffold: SPAdes + Improvement",5350164,62,86292.97,758267,302596,6,299121,7,216914,9,157806,12,86766,17,415,62,1180,2028200,1981611,46589,1950036,31575,306258200,299223261,299131886,151,151,35.3,409.1,105.0
42070_2#289,"Scaffold: SPAdes + Improvement",5650231,57,99126.86,1455683,481685,4,455082,5,328586,6,144598,9,73705,14,307,57,1031,1600462,1562330,38132,1536412,25918,241669762,235911830,235839557,151,151,35.3,432.8,105.1
42070_2#290,"Scaffold: SPAdes + Improvement",5453346,48,113611.38,1175835,693495,4,693495,4,448867,5,359595,7,104420,9,311,48,865,1992004,1944268,47736,1912814,31454,300792604,293584468,293493350,151,151,35.3,415.6,103.5
42070_2#291,"Scaffold: SPAdes + Improvement",5648958,48,117686.62,815295,411078,5,322246,7,293496,9,204715,11,86919,16,311,48,828,2264828,2210295,54533,2169924,40371,341989028,333754545,333646669,151,151,35.2,421.4,104.3
42070_2#292,"Scaffold: SPAdes + Improvement",5411115,52,104059.90,475550,350606,7,304773,9,240427,11,129465,14,82671,19,396,52,702,1620318,1574262,46056,1540374,33888,244668018,237713562,237630114,151,151,35.1,422.3,100.3
42070_2#293,"Scaffold: SPAdes + Improvement",5421105,59,91883.14,1180971,377287,5,311660,7,253079,9,145309,11,92971,16,317,59,877,1947872,1900768,47104,1868562,32206,294128672,287015968,286927202,151,151,35.3,429.2,106.4
42070_2#294,"Scaffold: SPAdes + Improvement",5588257,53,105438.81,1063152,382781,5,289115,7,275681,9,215924,11,86766,16,340,53,588,2151612,2101723,49889,2068440,33283,324893412,317360173,317262228,151,151,35.3,417.9,104.1
42070_2#295,"Scaffold: SPAdes + Improvement",5649401,50,112988.02,791865,481689,5,356188,6,328707,7,193253,10,73930,15,311,50,1242,2235686,2179048,56638,2140302,38746,337588586,329036248,328930612,151,151,35.2,426.1,104.5
42070_2#296,"Scaffold: SPAdes + Improvement",6154940,425,14482.21,561503,254021,8,220288,11,207805,13,99552,18,9896,34,300,425,8229,2064316,2010500,53816,1973266,37234,311711716,303585500,303480644,151,151,35.3,423.7,109.5
42070_2#297,"Scaffold: SPAdes + Improvement",5647784,50,112955.68,973588,423080,5,369753,6,295968,8,198679,10,74596,15,311,50,2035,1876126,1826789,49337,1792106,34683,283295026,275845139,275755015,151,151,35.2,432.5,107.2
42070_2#298,"Scaffold: SPAdes + Improvement",5700551,70,81436.44,843894,308351,6,285759,8,247828,10,219690,12,86638,17,353,70,1014,1685288,1646701,38587,1619536,27165,254478488,248651851,248575259,151,151,35.3,431.6,108.1
42070_2#299,"Scaffold: SPAdes + Improvement",5649770,49,115301.43,972093,482017,4,356022,6,299265,8,189232,10,94492,14,311,49,1440,2066652,2020374,46278,1986556,33818,312064452,305076474,304981583,151,151,35.3,421.5,100.6
42070_2#300,"Scaffold: SPAdes + Improvement",5587922,61,91605.28,818507,365935,6,353263,8,275677,9,138167,12,86766,17,340,61,729,1744682,1702112,42570,1673140,28972,263446982,257018912,256938903,151,151,35.3,392.1,107.0
42070_2#302,"Scaffold: SPAdes + Improvement",5586869,47,118869.55,1340356,412522,5,350474,6,263364,8,219038,10,101843,14,327,47,612,2459370,2404509,54861,2366544,37965,371364870,363080859,362970659,151,151,35.4,419.2,105.0
42070_2#303,"Scaffold: SPAdes + Improvement",5649062,47,120192.81,1157062,387948,4,357017,5,298666,7,200592,9,75224,14,311,47,1456,3040666,2972671,67995,2926512,46159,459140566,448873321,448738238,151,151,35.3,424.2,101.9
42070_2#304,"Scaffold: SPAdes + Improvement",5805346,51,113830.31,1105601,462159,4,383950,5,371955,7,194701,9,77564,14,311,51,140,2005012,1956806,48206,1925846,30960,302756812,295477706,295386330,151,151,35.3,420.0,107.4
42070_2#305,"Scaffold: SPAdes + Improvement",5679169,45,126203.76,474783,286131,8,242030,10,223059,12,207326,15,86499,19,311,45,76,2251712,2197060,54652,2159070,37990,340008512,331756060,331651254,151,151,35.3,428.0,103.9
42070_2#306,"Scaffold: SPAdes + Improvement",5445070,36,151251.94,690022,374429,6,307709,7,225050,9,172108,12,99701,17,408,36,404,1849922,1805616,44306,1775358,30258,279338222,272648016,272565913,151,151,35.3,422.9,104.8
42070_2#307,"Scaffold: SPAdes + Improvement",5654304,76,74398.74,513697,217016,9,179205,12,120119,16,76178,22,53359,31,347,76,86,2089830,2040961,48869,2006818,34143,315564330,308185111,308090122,151,151,35.3,435.1,105.4
42070_2#308,"Scaffold: SPAdes + Improvement",5640934,52,108479.50,592559,334107,7,311489,8,210261,11,137673,14,84983,19,357,52,951,2003512,1954758,48754,1920340,34418,302530312,295168458,295074034,151,151,35.2,424.2,103.7
42070_2#309,"Scaffold: SPAdes + Improvement",5679441,45,126209.80,611144,254033,7,226084,10,218621,12,202912,15,100580,19,311,45,339,2270536,2219733,50803,2184164,35569,342850936,335179683,335080337,151,151,35.4,421.8,103.3
42070_2#311,"Scaffold: SPAdes + Improvement",5679798,41,138531.66,818425,327707,7,254033,9,226071,11,149098,14,102726,18,868,41,339,2485874,2425517,60357,2382980,42537,375366974,366253067,366137882,151,151,35.3,423.5,106.7
42070_2#312,"Scaffold: SPAdes + Improvement",5483284,34,161273.06,769565,434659,5,385891,7,353928,8,203379,10,99811,14,330,34,134,2332712,2282720,49992,2248220,34500,352239512,344690720,344589072,151,151,35.4,422.4,103.7
42070_2#313,"Scaffold: SPAdes + Improvement",5678907,41,138509.93,652405,375357,6,372189,7,254033,9,217650,12,124063,15,311,41,339,2007058,1957141,49917,1922784,34357,303065758,295528291,295436802,151,151,35.3,428.5,105.7
42070_2#314,"Scaffold: SPAdes + Improvement",5243808,54,97107.56,590947,213143,8,169107,11,130834,14,105423,19,91249,24,404,54,1060,2900688,2833200,67488,2788670,44530,438003888,427813200,427684931,151,151,35.3,393.8,103.3
42070_2#315,"Scaffold: SPAdes + Improvement",5511180,68,81046.76,643757,314279,7,284095,8,188706,11,168684,14,65321,19,334,68,841,1985192,1932940,52252,1897910,35030,299763992,291873940,291778808,151,151,35.2,427.7,105.0
42070_2#316,"Scaffold: SPAdes + Improvement",5512060,64,86125.94,1147977,315651,5,238488,7,195632,10,168684,13,67977,18,334,64,468,2504082,2450973,53109,2414262,36711,378116382,370096923,369985468,151,151,35.4,415.7,101.8
42070_2#317,"Scaffold: SPAdes + Improvement",5302293,47,112814.74,968482,356424,5,325269,6,267760,8,208098,11,82741,15,304,47,808,1409936,1377163,32773,1354098,23065,212900336,207951613,207887247,151,151,35.3,433.4,104.5
42070_2#318,"Scaffold: SPAdes + Improvement",5585336,52,107410.31,1334504,445210,4,412562,5,275667,7,215924,9,100781,13,375,52,840,1810428,1761095,49333,1725188,35907,273374628,265925345,265834127,151,151,35.2,434.2,106.1
42070_2#319,"Scaffold: SPAdes + Improvement",5700325,68,83828.31,732136,350652,6,259971,8,244299,10,160199,13,99731,18,353,68,988,2589142,2526800,62342,2483638,43162,390960442,381546800,381428022,151,151,35.3,431.0,106.5
42070_2#320,"Scaffold: SPAdes + Improvement",5586047,57,98000.82,818140,353778,6,344532,7,264317,9,175127,12,94275,16,438,57,875,1137442,1109638,27804,1091326,18312,171753742,167555338,167502099,151,151,35.3,426.9,103.2
42070_2#321,"Scaffold: SPAdes + Improvement",5741034,44,130478.05,1062029,545571,4,519380,5,345763,7,242312,9,105115,12,401,44,544,1978448,1928853,49595,1892602,36251,298745648,291256803,291161038,151,151,35.2,422.2,104.6
42070_2#322,"Scaffold: SPAdes + Improvement",5700149,71,80283.79,1290052,316475,4,280609,6,186095,9,115204,13,41645,19,310,71,204,1795982,1743105,52877,1707226,35879,271193282,263208855,263119394,151,151,35.2,427.3,105.8
42070_2#323,"Scaffold: SPAdes + Improvement",5408965,61,88671.56,643872,329268,6,314279,8,201203,11,186172,13,99715,17,319,61,71,2016250,1973109,43141,1942188,30921,304453750,297939459,297850027,151,151,35.3,422.8,106.0
42070_2#324,"Scaffold: SPAdes + Improvement",5571590,39,142861.28,584732,366571,6,323474,8,315511,10,260422,12,101222,15,311,39,342,1574194,1539272,34922,1513936,25336,237703294,232430072,232358088,151,151,35.3,430.6,106.9
42070_2#325,"Scaffold: SPAdes + Improvement",5649115,50,112982.30,869832,388932,5,357476,7,356188,8,204743,10,117232,14,307,50,1116,2259944,2199905,60039,2160958,38947,341251544,332185655,332081269,151,151,35.2,425.8,107.6
42070_2#326,"Scaffold: SPAdes + Improvement",5631456,75,75086.08,1996077,369762,3,230614,5,204987,7,148409,11,74390,16,378,75,520,1768688,1704364,64324,1658904,45460,267071888,257358964,257270259,151,151,35.3,433.0,106.1
42070_2#327,"Scaffold: SPAdes + Improvement",5646157,50,112923.14,1042549,481685,4,356017,5,297191,7,204710,9,86897,14,416,50,1123,1806464,1769184,37280,1743268,25916,272776064,267146784,267069821,151,151,35.4,420.0,104.7
42070_2#328,"Scaffold: SPAdes + Improvement",5703027,82,69549.11,1295829,309164,5,282905,7,219150,9,110371,13,41645,19,304,82,533,1875426,1832117,43309,1802156,29961,283189326,276649667,276562965,151,151,35.4,425.4,104.0
42070_2#329,"Scaffold: SPAdes + Improvement",5696542,79,72108.13,732646,404968,5,289240,7,243595,9,206622,12,86638,17,353,79,1062,1612844,1576516,36328,1550786,25730,243539444,238053916,237978655,151,151,35.3,423.6,108.4
42070_2#330,"Scaffold: SPAdes + Improvement",5701129,70,81444.70,882221,350820,5,285765,7,219912,10,201700,12,99731,17,401,70,1000,1841462,1795274,46188,1763514,31760,278060762,271086374,270999740,151,151,35.2,430.0,105.4
42070_2#331,"Scaffold: SPAdes + Improvement",5613548,56,100241.93,1157061,324434,5,306264,7,204883,9,138737,12,86919,17,311,56,636,3144290,3065814,78476,3014904,50910,474787790,462937914,462796344,151,151,35.3,427.0,103.7
42070_2#332,"Scaffold: SPAdes + Improvement",5702129,68,83854.84,732249,290696,7,259971,9,242656,11,219912,13,99731,18,323,68,754,2567566,2496708,70858,2445280,51428,387702466,377002908,376875702,151,151,35.2,430.4,105.8
42070_2#333,"Scaffold: SPAdes + Improvement",5666677,60,94444.62,943442,370765,6,367780,7,293206,9,198712,11,59240,17,410,60,1712,2289214,2224499,64715,2181196,43303,345671314,335899349,335789190,151,151,35.2,435.4,110.5
42070_2#334,"Scaffold: SPAdes + Improvement",5508420,62,88845.48,643731,315651,6,238488,8,192605,11,168684,14,68542,19,334,62,139,2220022,2158098,61924,2115010,43088,335223322,325872798,325762977,151,151,35.2,434.4,106.0
42070_2#335,"Scaffold: SPAdes + Improvement",5584030,95,58779.26,680766,183299,9,126608,13,99856,18,75725,24,35355,35,369,95,339,2061180,2022012,39168,1993944,28068,311238180,305323812,305234088,151,151,35.4,428.0,106.3
42070_2#336,"Scaffold: SPAdes + Improvement",5472395,52,105238.37,430023,264039,8,253784,10,205667,13,135072,16,99751,20,322,52,453,1987496,1944256,43240,1913966,30290,300111896,293582656,293494392,151,151,35.3,424.7,104.3
42070_2#337,"Scaffold: SPAdes + Improvement",5519001,57,96824.58,1022932,497950,4,440776,5,349017,7,328687,8,94486,12,304,57,566,1118062,1093202,24860,1075794,17408,168827362,165073502,165024326,151,151,35.4,404.4,105.8
42070_2#338,"Scaffold: SPAdes + Improvement",5678582,39,145604.67,637262,371899,6,254033,8,225768,10,205535,13,124063,16,410,39,348,2837414,2782265,55149,2743940,38325,428449514,420122015,420004052,151,151,35.5,401.8,108.4
42070_2#339,"Scaffold: SPAdes + Improvement",5679347,41,138520.66,634608,334922,7,276238,9,242072,11,201737,14,102699,18,311,41,340,1840234,1800988,39246,1773188,27800,277875334,271949188,271868122,151,151,35.3,418.3,104.0
42070_2#340,"Scaffold: SPAdes + Improvement",5679161,43,132073.51,818513,372174,6,334933,8,226700,10,147301,13,86499,17,311,43,77,2581446,2521111,60335,2480100,41011,389798346,380687761,380572377,151,151,35.3,412.9,104.0
42070_2#341,"Scaffold: SPAdes + Improvement",4710342,39,120778.00,890680,327024,5,216107,7,177675,10,146966,13,117404,16,317,39,1924,1493022,1458042,34980,1435394,22648,225446322,220164342,220098349,151,151,35.3,433.7,106.0
42070_2#342,"Scaffold: SPAdes + Improvement",5649129,49,115288.35,1454482,427477,4,356024,5,322246,7,198832,9,117232,13,311,49,1653,2545460,2476724,68736,2430430,46294,384364460,373985324,373865074,151,151,35.2,424.6,111.4
42070_2#343,"Scaffold: SPAdes + Improvement",5648126,48,117669.29,1163148,428772,4,387952,5,328707,7,198850,9,94492,13,311,48,1635,2103750,2050483,53267,2014802,35681,317666250,309622933,309525698,151,151,35.3,429.2,104.2
42070_2#344,"Scaffold: SPAdes + Improvement",5698691,144,39574.24,562379,375251,7,334918,8,263083,10,124447,13,86499,19,300,144,75,2012358,1964089,48269,1930868,33221,303866058,296577439,296484120,151,151,35.3,427.6,101.7
42070_2#345,"Scaffold: SPAdes + Improvement",5648397,49,115273.41,869805,356684,5,334805,7,298661,8,198788,11,86919,15,311,49,658,1937148,1891945,45203,1861644,30301,292509348,285683695,285597295,151,151,35.3,429.2,104.6
42070_2#346,"Scaffold: SPAdes + Improvement",5499090,69,79696.96,799299,223248,8,209643,10,145443,13,101292,18,79536,24,309,69,878,2305424,2250935,54489,2212912,38023,348119024,339891185,339784934,151,151,35.3,421.3,106.6
42070_2#347,"Scaffold: SPAdes + Improvement",5695638,59,96536.24,731883,350820,6,289920,7,259971,9,206613,12,99731,16,401,59,753,2146718,2098496,48222,2064832,33664,324154418,316872896,316776521,151,151,35.3,432.1,105.9
42070_2#348,"Scaffold: SPAdes + Improvement",5580075,90,62000.83,659180,215476,8,197601,11,143475,15,77071,20,37731,30,317,90,466,1922570,1871614,50956,1838264,33350,290308070,282613714,282523350,151,151,35.3,423.9,107.8
42070_2#349,"Scaffold: SPAdes + Improvement",5635677,51,110503.47,879557,330472,5,322226,7,292174,9,204754,11,94513,15,311,51,1389,2524908,2456066,68842,2407796,48270,381261108,370865966,370744445,151,151,35.2,427.3,107.7
42070_2#350,"Scaffold: SPAdes + Improvement",3828200,197,19432.49,145948,42769,26,33450,36,28080,49,21691,64,11774,89,332,197,0,1911002,1865250,45752,1835940,29310,288561302,281652750,281558525,151,151,35.3,423.6,107.1
42070_2#351,"Scaffold: SPAdes + Improvement",5700231,72,79169.88,853605,289260,6,245710,8,219912,10,160453,13,99731,18,353,72,921,2416532,2370384,46148,2336766,33618,364896332,357927984,357822827,151,151,35.4,416.3,106.2
42070_2#352,"Scaffold: SPAdes + Improvement",5361839,54,99293.31,764990,446871,5,306025,7,301265,8,210703,11,84210,15,320,54,511,1968624,1922658,45966,1889982,32676,297262224,290321358,290230204,151,151,35.3,433.1,105.1
42070_2#353,"Scaffold: SPAdes + Improvement",5421285,51,106299.71,1180971,378553,5,360288,6,258466,8,238976,10,92971,15,317,51,357,2884954,2818611,66343,2770572,48039,435628054,425610261,425474158,151,151,35.3,436.1,108.3
42070_2#354,"Scaffold: SPAdes + Improvement",6034286,117,51575.09,464185,319315,8,204227,10,185346,13,96195,18,33415,29,317,117,1847,2275460,2222433,53027,2185604,36829,343594460,335587383,335480533,151,151,35.3,419.0,105.6
42070_2#355,"Scaffold: SPAdes + Improvement",5421779,51,106309.39,1181091,387816,5,359973,6,258104,8,238976,10,92971,14,316,51,1114,2284310,2230325,53985,2193030,37295,344930810,336779075,336674544,151,151,35.3,429.2,104.0
42070_2#356,"Scaffold: SPAdes + Improvement",5623205,91,61793.46,801209,377729,5,229117,7,185997,10,96292,14,42867,21,308,91,689,2339990,2281630,58360,2240878,40752,353338490,344526130,344413421,151,151,35.3,433.9,106.7
42070_2#357,"Scaffold: SPAdes + Improvement",5679377,38,149457.29,818306,375355,5,338091,7,243099,9,207805,11,86499,16,311,38,361,2157302,2102571,54731,2066616,35955,325752602,317488221,317391587,151,151,35.3,423.4,106.9
42070_2#358,"Scaffold: SPAdes + Improvement",5679059,44,129069.52,611310,326562,7,242030,9,207817,12,145700,15,100558,19,311,44,336,2403644,2343268,60376,2304594,38674,362950244,353833468,353724522,151,151,35.3,420.5,104.3
42070_2#359,"Scaffold: SPAdes + Improvement",5509436,62,88861.87,1264360,374764,5,354991,6,220218,8,169327,11,67661,16,369,62,70,2136170,2084363,51807,2048572,35791,322561670,314738813,314640279,151,151,35.3,425.8,104.1
42070_2#360,"Scaffold: SPAdes + Improvement",5678797,42,135209.45,611268,341414,7,241909,9,220875,12,201840,14,77024,19,311,42,340,1914864,1869447,45417,1837652,31795,289144464,282286497,282200090,151,151,35.3,420.4,104.7
42070_2#361,"Scaffold: SPAdes + Improvement",10403968,191,54471.04,622629,182731,18,140611,24,109770,33,65273,45,40438,65,311,191,647,1981066,1930495,50571,1892564,37931,299140966,291504745,291404017,151,151,35.2,412.8,103.5
42070_2#362,"Scaffold: SPAdes + Improvement",5209762,21,248083.90,1448407,443590,3,372081,4,353446,6,306535,7,207690,9,395,21,338,2649468,2593566,55902,2555164,38402,400069668,391628466,391514680,151,151,35.4,396.9,105.9
42070_2#363,"Scaffold: SPAdes + Improvement",4977521,95,52394.96,390084,113535,12,82724,16,62094,23,45400,33,29019,46,307,95,412,2896098,2834554,61544,2791434,43120,437310798,428017654,427890522,151,151,35.4,428.3,106.6
42070_2#364,"Scaffold: SPAdes + Improvement",5504932,82,67133.32,516944,319761,7,277986,9,249833,11,94814,15,43371,22,321,82,1,2510996,2452898,58098,2413010,39888,379160396,370387598,370274734,151,151,35.3,420.3,102.2
42092_1#18,"Scaffold: SPAdes + Improvement",5546653,65,85333.12,494588,333352,7,259830,9,199847,11,151800,15,92314,19,365,65,1122,3325480,3281080,44400,3247998,33082,502147480,495443080,495336752,151,151,35.6,396.9,117.7
42092_1#20,"Scaffold: SPAdes + Improvement",5547174,61,90937.28,1098379,294265,6,260155,8,194364,11,155398,14,92314,18,365,61,799,2882952,2840328,42624,2808362,31966,435325752,428889528,428792028,151,151,35.5,418.1,114.3
